eventId,periodDescriptor,timeInPeriod,timeRemaining,situationCode,homeTeamDefendingSide,typeCode,typeDescKey,sortOrder,details,pptReplayUrl
51,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",00:00,20:00,,,520,period-start,5,,
52,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",00:00,20:00,1551,,502,faceoff,6,"{'eventOwnerTeamId': 19, 'losingPlayerId': 8471273, 'winningPlayerId': 8474627, 'xCoord': 0, 'yCoord': 0, 'zoneCode': 'N'}",
53,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",00:12,19:48,1551,,506,shot-on-goal,7,"{'xCoord': -79, 'yCoord': 7, 'zoneCode': 'O', 'shotType': 'backhand', 'shootingPlayerId': 8476432, 'goalieInNetId': 8475622, 'eventOwnerTeamId': 29, 'awaySOG': 1, 'homeSOG': 0}",
54,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",00:33,19:27,1551,,508,blocked-shot,11,"{'xCoord': -49, 'yCoord': -19, 'zoneCode': 'D', 'blockingPlayerId': 8474031, 'shootingPlayerId': 8473422, 'eventOwnerTeamId': 29}",
55,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",00:56,19:04,1551,,508,blocked-shot,15,"{'xCoord': 64, 'yCoord': -8, 'zoneCode': 'D', 'blockingPlayerId': 8476850, 'shootingPlayerId': 8470257, 'eventOwnerTeamId': 19}",
5,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",00:57,19:03,1551,,516,stoppage,16,{'reason': 'puck-in-netting'},
56,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",00:57,19:03,1551,,502,faceoff,17,"{'eventOwnerTeamId': 29, 'losingPlayerId': 8473534, 'winningPlayerId': 8477505, 'xCoord': 67, 'yCoord': -25, 'zoneCode': 'D'}",
6,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",01:41,18:19,1551,,503,hit,22,"{'xCoord': -97, 'yCoord': -20, 'zoneCode': 'D', 'eventOwnerTeamId': 19, 'hittingPlayerId': 8470151, 'hitteePlayerId': 8474685}",
57,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",02:11,17:49,1551,,508,blocked-shot,26,"{'xCoord': 63, 'yCoord': 8, 'zoneCode': 'D', 'blockingPlayerId': 8475233, 'shootingPlayerId': 8477952, 'eventOwnerTeamId': 19}",
7,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",02:31,17:29,1551,,503,hit,30,"{'xCoord': -49, 'yCoord': 40, 'zoneCode': 'D', 'eventOwnerTeamId': 19, 'hittingPlayerId': 8474125, 'hitteePlayerId': 8468486}",
8,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",02:48,17:12,1551,,503,hit,32,"{'xCoord': 35, 'yCoord': 40, 'zoneCode': 'O', 'eventOwnerTeamId': 19, 'hittingPlayerId': 8470803, 'hitteePlayerId': 8476310}",
58,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",03:14,16:46,1551,,508,blocked-shot,39,"{'xCoord': -60, 'yCoord': -20, 'zoneCode': 'D', 'blockingPlayerId': 8470151, 'shootingPlayerId': 8476432, 'eventOwnerTeamId': 29}",
9,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",03:23,16:37,1551,,525,takeaway,40,"{'xCoord': -20, 'yCoord': -4, 'zoneCode': 'N', 'playerId': 8476432, 'eventOwnerTeamId': 29}",
10,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",03:40,16:20,1551,,516,stoppage,45,{'reason': 'puck-in-netting'},
59,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",03:40,16:20,1551,,502,faceoff,46,"{'eventOwnerTeamId': 19, 'losingPlayerId': 8477505, 'winningPlayerId': 8473534, 'xCoord': 69, 'yCoord': -25, 'zoneCode': 'O'}",
13,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",03:47,16:13,1551,,507,missed-shot,47,"{'xCoord': 88, 'yCoord': -25, 'zoneCode': 'O', 'reason': 'wide-of-net', 'shotType': 'wrist', 'shootingPlayerId': 8473534, 'goalieInNetId': 8470147, 'eventOwnerTeamId': 19}",
60,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",03:51,16:09,1551,,506,shot-on-goal,48,"{'xCoord': 51, 'yCoord': -35, 'zoneCode': 'O', 'shotType': 'slap', 'shootingPlayerId': 8476892, 'goalieInNetId': 8470147, 'eventOwnerTeamId': 19, 'awaySOG': 1, 'homeSOG': 1}",
11,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",03:52,16:08,1551,,516,stoppage,49,{'reason': 'goalie-stopped-after-sog'},
61,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",03:52,16:08,1551,,502,faceoff,52,"{'eventOwnerTeamId': 29, 'losingPlayerId': 8471669, 'winningPlayerId': 8476448, 'xCoord': 70, 'yCoord': -24, 'zoneCode': 'D'}",
12,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",03:59,16:01,1551,,503,hit,53,"{'xCoord': 96, 'yCoord': -36, 'zoneCode': 'O', 'eventOwnerTeamId': 19, 'hittingPlayerId': 8477952, 'hitteePlayerId': 8475233}",
14,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",04:29,15:31,1551,,503,hit,54,"{'xCoord': -62, 'yCoord': 40, 'zoneCode': 'D', 'eventOwnerTeamId': 19, 'hittingPlayerId': 8476892, 'hitteePlayerId': 8476981}",
15,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",04:44,15:16,1551,,503,hit,55,"{'xCoord': -28, 'yCoord': 25, 'zoneCode': 'D', 'eventOwnerTeamId': 19, 'hittingPlayerId': 8477952, 'hitteePlayerId': 8478906}",
16,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",04:57,15:03,1551,,503,hit,58,"{'xCoord': 52, 'yCoord': -40, 'zoneCode': 'D', 'eventOwnerTeamId': 29, 'hittingPlayerId': 8475233, 'hitteePlayerId': 8476436}",
17,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",05:07,14:53,1551,,525,takeaway,60,"{'xCoord': 28, 'yCoord': -31, 'zoneCode': 'O', 'playerId': 8474031, 'eventOwnerTeamId': 19}",
63,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",05:10,14:50,1551,,507,missed-shot,62,"{'xCoord': 62, 'yCoord': -23, 'zoneCode': 'O', 'reason': 'wide-of-net', 'shotType': 'wrist', 'shootingPlayerId': 8474031, 'goalieInNetId': 8470147, 'eventOwnerTeamId': 19}",
18,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",05:47,14:13,1551,,503,hit,67,"{'xCoord': -64, 'yCoord': 40, 'zoneCode': 'D', 'eventOwnerTeamId': 19, 'hittingPlayerId': 8470105, 'hitteePlayerId': 8476310}",
64,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",05:57,14:03,1551,,506,shot-on-goal,70,"{'xCoord': 59, 'yCoord': 2, 'zoneCode': 'O', 'shotType': 'wrist', 'shootingPlayerId': 8470803, 'goalieInNetId': 8470147, 'eventOwnerTeamId': 19, 'awaySOG': 1, 'homeSOG': 2}",
65,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",06:07,13:53,1551,,508,blocked-shot,71,"{'xCoord': 73, 'yCoord': -17, 'zoneCode': 'D', 'blockingPlayerId': 8478460, 'shootingPlayerId': 8470105, 'eventOwnerTeamId': 19}",
66,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",06:52,13:08,1551,,507,missed-shot,76,"{'xCoord': 86, 'yCoord': -23, 'zoneCode': 'O', 'reason': 'wide-of-net', 'shotType': 'wrist', 'shootingPlayerId': 8475765, 'goalieInNetId': 8470147, 'eventOwnerTeamId': 19}",
19,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",07:02,12:58,1551,,503,hit,77,"{'xCoord': 31, 'yCoord': -40, 'zoneCode': 'D', 'eventOwnerTeamId': 29, 'hittingPlayerId': 8477505, 'hitteePlayerId': 8474627}",
67,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",07:14,12:46,1551,,508,blocked-shot,80,"{'xCoord': -66, 'yCoord': -8, 'zoneCode': 'D', 'blockingPlayerId': 8474565, 'shootingPlayerId': 8476438, 'eventOwnerTeamId': 29}",
20,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",07:21,12:39,1551,,503,hit,81,"{'xCoord': -78, 'yCoord': 41, 'zoneCode': 'O', 'eventOwnerTeamId': 29, 'hittingPlayerId': 8473422, 'hitteePlayerId': 8476436}",
21,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",07:30,12:30,1551,,516,stoppage,84,{'reason': 'icing'},
68,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",07:30,12:30,1551,,502,faceoff,85,"{'eventOwnerTeamId': 29, 'losingPlayerId': 8471669, 'winningPlayerId': 8476448, 'xCoord': -63, 'yCoord': -25, 'zoneCode': 'O'}",
69,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",07:34,12:26,1551,,506,shot-on-goal,86,"{'xCoord': -36, 'yCoord': -28, 'zoneCode': 'O', 'shotType': 'wrist', 'shootingPlayerId': 8478906, 'goalieInNetId': 8475622, 'eventOwnerTeamId': 29, 'awaySOG': 2, 'homeSOG': 2}",
22,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",07:35,12:25,1551,,516,stoppage,87,"{'reason': 'goalie-stopped-after-sog', 'secondaryReason': 'tv-timeout'}",
70,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",07:35,12:25,1551,,502,faceoff,90,"{'eventOwnerTeamId': 19, 'losingPlayerId': 8477505, 'winningPlayerId': 8473534, 'xCoord': -67, 'yCoord': -27, 'zoneCode': 'D'}",
23,"{'number': 1, 'periodType': 'REG', 'maxRegulationPeriods': 3}",08:13,11:47,1551,,503,hit,91,"{'xCoord': -63, 'yCoord': -39, 'zoneCode': 'D', 'eventOwnerTeamId': 19, 'hittingPlayerId': 8473534, 'hitteePlayerId': 8477505}",
