id,headshot,firstName,lastName,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,heightInCentimeters,weightInKilograms,birthDate,birthCity,birthCountry,birthStateProvince,positionType,season,team
8471766,https://assets.nhle.com/mugs/nhl/20162017/ANA/8471766.png,Jared,Boll,40,R,R,75,206,191,93,1986-05-13,Charlotte,USA,NC,forwards,20162017,ANA
8471699,https://assets.nhle.com/mugs/nhl/20162017/ANA/8471699.png,Andrew,Cogliano,7,L,L,70,179,178,81,1987-06-14,Toronto,CAN,ON,forwards,20162017,ANA
8476390,https://assets.nhle.com/mugs/nhl/20162017/ANA/8476390.png,Joseph,Cramarossa,74,L,L,73,190,185,86,1992-10-26,Markham,CAN,ON,forwards,20162017,ANA
8470622,https://assets.nhle.com/mugs/nhl/20162017/ANA/8470622.png,Patrick,Eaves,18,R,R,71,203,180,92,1984-05-01,Calgary,CAN,AB,forwards,20162017,ANA
8475770,https://assets.nhle.com/mugs/nhl/20162017/ANA/8475770.png,Emerson,Etem,26,L,L,73,212,185,96,1992-06-16,Long Beach,USA,CA,forwards,20162017,ANA
8476116,https://assets.nhle.com/mugs/nhl/20162017/ANA/8476116.png,Ryan,Garbutt,16,C,L,72,195,183,88,1985-08-12,Edmonton,CAN,AB,forwards,20162017,ANA
8470612,https://assets.nhle.com/mugs/nhl/20162017/ANA/8470612.png,Ryan,Getzlaf,15,C,R,76,220,193,100,1985-05-10,Regina,CAN,SK,forwards,20162017,ANA
8478131,https://assets.nhle.com/mugs/nhl/20162017/ANA/8478131.png,Ondrej,Kase,25,R,R,72,187,183,85,1995-11-08,Kadan,CZE,,forwards,20162017,ANA
8476866,https://assets.nhle.com/mugs/nhl/20162017/ANA/8476866.png,Nicolas,Kerdiles,58,L,L,74,200,188,91,1994-01-11,Lewisville,USA,TX,forwards,20162017,ANA
8470616,https://assets.nhle.com/mugs/nhl/20162017/ANA/8470616.png,Ryan,Kesler,17,C,R,74,206,188,93,1984-08-31,Livonia,USA,MI,forwards,20162017,ANA
8479290,https://assets.nhle.com/mugs/nhl/20162017/ANA/8479290.png,Kalle,Kossila,83,C,L,71,182,180,83,1993-04-14,Kauniainen,FIN,,forwards,20162017,ANA
8476474,https://assets.nhle.com/mugs/nhl/20162017/ANA/8476474.png,Stefan,Noesen,64,R,R,73,205,185,93,1993-02-12,Plano,USA,TX,forwards,20162017,ANA
