id,headshot,firstName,lastName,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,heightInCentimeters,weightInKilograms,birthDate,birthCity,birthCountry,birthStateProvince,positionType,season,team
8473492,https://assets.nhle.com/mugs/nhl/20112012/ANA/8473492.png,Matt,Beleskey,39.0,L,L,72,207,183,94,1988-06-07,Windsor,CAN,ON,forwards,20112012,ANA
8467335,https://assets.nhle.com/mugs/nhl/20112012/ANA/8467335.png,Mark,Bell,28.0,C,L,76,220,193,100,1980-08-05,St. Pauls,CAN,ON,forwards,20112012,ANA
8467844,https://assets.nhle.com/mugs/nhl/20112012/ANA/8467844.png,Jason,Blake,33.0,L,L,70,190,178,86,1973-09-02,Moorhead,USA,MN,forwards,20112012,ANA
8474009,https://assets.nhle.com/mugs/nhl/20112012/ANA/8474009.png,Nick,Bonino,13.0,C,L,73,195,185,88,1988-04-20,Hartford,USA,CT,forwards,20112012,ANA
8471699,https://assets.nhle.com/mugs/nhl/20112012/ANA/8471699.png,Andrew,Cogliano,7.0,L,L,70,179,178,81,1987-06-14,Toronto,CAN,ON,forwards,20112012,ANA
8470612,https://assets.nhle.com/mugs/nhl/20112012/ANA/8470612.png,Ryan,Getzlaf,15.0,C,R,76,220,193,100,1985-05-10,Regina,CAN,SK,forwards,20112012,ANA
8471409,https://assets.nhle.com/mugs/nhl/20112012/ANA/8471409.png,Andrew,Gordon,20.0,R,R,72,194,183,88,1985-12-13,Porters Lake,CAN,NS,forwards,20112012,ANA
8467943,https://assets.nhle.com/mugs/nhl/20112012/ANA/8467943.png,Niklas,Hagman,12.0,L,L,70,205,178,93,1979-12-05,Espoo,FIN,,forwards,20112012,ANA
8475180,https://assets.nhle.com/mugs/nhl/20112012/ANA/8475180.png,Peter,Holland,74.0,C,L,74,193,188,88,1991-01-14,Toronto,CAN,ON,forwards,20112012,ANA
8470661,https://assets.nhle.com/mugs/nhl/20112012/ANA/8470661.png,Jean-Francois,Jacques,22.0,L,L,75,231,191,105,1985-04-29,Montréal,CAN,QC,forwards,20112012,ANA
8459442,https://assets.nhle.com/mugs/nhl/20112012/ANA/8459442.png,Saku,Koivu,11.0,C,L,70,181,178,82,1974-11-23,Turku,FIN,,forwards,20112012,ANA
8474139,https://assets.nhle.com/mugs/nhl/20112012/ANA/8474139.png,Maxime,Macenauer,40.0,C,L,71,188,180,85,1989-01-04,Laval,CAN,QC,forwards,20112012,ANA
8474034,https://assets.nhle.com/mugs/nhl/20112012/ANA/8474034.png,Patrick,Maroon,19.0,L,L,75,234,191,106,1988-04-23,St. Louis,USA,MO,forwards,20112012,ANA
